set_num,name,num_parts,set_img_url,set_url,last_modified_dt
fig-008339,"Boxer, Blue Shorts, Red Gloves",4,https://cdn.rebrickable.com/media/sets/fig-008339/107679.jpg,https://rebrickable.com/minifigs/fig-008339/boxer-blue-shorts-red-gloves/,2020-05-26T01:50:37.959693Z
fig-008340,"Chef - White Torso, Reddish Brown Legs",4,https://cdn.rebrickable.com/media/sets/fig-008340/107676.jpg,https://rebrickable.com/minifigs/fig-008340/chef-white-torso-reddish-brown-legs/,2020-05-26T21:26:22.200781Z
fig-008341,"Dark Bluish grey Torso, Jacket, Dark Purple Legs, Dark Orange Hair",4,https://cdn.rebrickable.com/media/sets/fig-008341/107407.jpg,https://rebrickable.com/minifigs/fig-008341/dark-bluish-grey-torso-jacket-dark-purple-legs-dark-orange-hair/,2020-05-26T16:39:10.673550Z
fig-008342,"Bright Light Blue Torso, Dark Blue Legs, Dark Brown Hair",4,https://cdn.rebrickable.com/media/sets/fig-008342/107677.jpg,https://rebrickable.com/minifigs/fig-008342/bright-light-blue-torso-dark-blue-legs-dark-brown-hair/,2020-05-26T16:39:09.103583Z
fig-008343,"White Torso, Bright Light Blue Legs, Black Hair",4,https://cdn.rebrickable.com/media/sets/fig-008343/96609.jpg,https://rebrickable.com/minifigs/fig-008343/white-torso-bright-light-blue-legs-black-hair/,2021-11-29T16:35:25.711847Z
fig-008344,"White Torso, Blue Legs, Dark Brown Hair",4,https://cdn.rebrickable.com/media/sets/fig-008344/64048.jpg,https://rebrickable.com/minifigs/fig-008344/white-torso-blue-legs-dark-brown-hair/,2022-02-02T01:28:08.920828Z
fig-008345,"Black Torso Jacket, White Legs, Dark Brown Hair",4,https://cdn.rebrickable.com/media/sets/fig-008345/150365.jpg,https://rebrickable.com/minifigs/fig-008345/black-torso-jacket-white-legs-dark-brown-hair/,2020-06-02T17:51:50.290737Z
fig-008346,"Dark Blue Torso, Jacket, Dark Tan Legs, Tan Hair",4,https://cdn.rebrickable.com/media/sets/fig-008346/64050.jpg,https://rebrickable.com/minifigs/fig-008346/dark-blue-torso-jacket-dark-tan-legs-tan-hair/,2020-06-02T17:51:55.070517Z
fig-008347,"Chef - White Torso, White Legs, White Hat",4,https://cdn.rebrickable.com/media/sets/fig-008347/107984.jpg,https://rebrickable.com/minifigs/fig-008347/chef-white-torso-white-legs-white-hat/,2020-06-02T17:52:04.316278Z
fig-008348,"Medium Blue Torso, Tan Legs, Dark Orange Hair",4,https://cdn.rebrickable.com/media/sets/fig-008348/64047.jpg,https://rebrickable.com/minifigs/fig-008348/medium-blue-torso-tan-legs-dark-orange-hair/,2020-06-02T17:51:41.106868Z
fig-008349,"Light Bluish Grey Torso Jacket, Dark BLuish Grey Legs, Black Hair",4,https://cdn.rebrickable.com/media/sets/fig-008349/84132.jpg,https://rebrickable.com/minifigs/fig-008349/light-bluish-grey-torso-jacket-dark-bluish-grey-legs-black-hair/,2020-05-22T19:44:14.842163Z
fig-008350,"Black Torso Jacket, Light Bluish Gray Legs, Dark Orange Hair",4,https://cdn.rebrickable.com/media/sets/fig-008350/90963.jpg,https://rebrickable.com/minifigs/fig-008350/black-torso-jacket-light-bluish-gray-legs-dark-orange-hair/,2021-03-23T19:40:41.378780Z
fig-008351,"Green Torso, Red Legs, Tan Hair",4,https://cdn.rebrickable.com/media/sets/fig-008351/84138.jpg,https://rebrickable.com/minifigs/fig-008351/green-torso-red-legs-tan-hair/,2021-03-14T03:17:42.643752Z
fig-008352,"Kid, Red Torso, Medium Lavender Legs, Dark Brown Hair",4,https://cdn.rebrickable.com/media/sets/fig-008352/74625.jpg,https://rebrickable.com/minifigs/fig-008352/kid-red-torso-medium-lavender-legs-dark-brown-hair/,2020-06-17T08:40:39.613489Z
fig-008353,"Bright Pink Torso, Lime Legs, Dark Orange Hair",4,https://cdn.rebrickable.com/media/sets/fig-008353/105223.jpg,https://rebrickable.com/minifigs/fig-008353/bright-pink-torso-lime-legs-dark-orange-hair/,2020-06-08T00:30:55.058202Z
